下标	名字		地址	层数	种类	类型	值	参个数
----------------------------------------------------------------------
0	a1		0	0	GCON	INT	0	0
1	a2		4	0	GCON	INT	1	0
2	tmp0		0	0	TTVAR	INT	0	0
3	a3		8	0	GCON	INT	1	0
4	a4		12	0	GCON	INT	30	0
5	tmp1		4	0	TTVAR	INT	0	0
6	a5		16	0	GCON	INT	30	0
7	a6		20	0	GCON	INT	111	0
8	c1		24	0	GCON	CHAR	43	0
9	c2		28	0	GCON	CHAR	51	0
10	c3		32	0	GCON	CHAR	97	0
11	c4		36	0	GCON	CHAR	65	0
12	c5		40	0	GCON	CHAR	95	0
13	c6		44	0	GCON	CHAR	42	0
14	b1		48	0	GVAR	INT	0	0
15	b2		52	0	GVAR	INT	0	0
16	b3		56	0	GARR	INT	10	0
17	bb		96	0	GVAR	INT	0	0
18	b5b		100	0	GVAR	INT	0	0
19	bb6		104	0	GVAR	INT	0	0
20	d1		108	0	GARR	CHAR	10	0
21	d22		148	0	GVAR	CHAR	0	0
22	add		0	1	FUNC	INT	0	2
23	a		4	1	PARA	INT	0	0
24	b		8	1	PARA	INT	0	0
25	tmp2		12	1	TTVAR	INT	0	0
26	end1518_0		152	1	REEND	VOID	0	0
27	minus		0	2	FUNC	INT	0	2
28	a		4	2	PARA	INT	0	0
29	b		8	2	PARA	INT	0	0
30	tmp3		12	2	TTVAR	INT	0	0
31	end1518_1		156	2	REEND	VOID	0	0
32	multiply		0	3	FUNC	INT	0	2
33	a		4	3	PARA	INT	0	0
34	b		8	3	PARA	INT	0	0
35	tmp4		12	3	TTVAR	INT	0	0
36	end1518_2		160	3	REEND	VOID	0	0
37	div		0	4	FUNC	INT	0	2
38	a		4	4	PARA	INT	0	0
39	b		8	4	PARA	INT	0	0
40	tmp5		12	4	TTVAR	INT	0	0
41	end1518_3		164	4	REEND	VOID	0	0
42	lss		0	5	FUNC	INT	0	2
43	a		4	5	PARA	INT	0	0
44	b		8	5	PARA	INT	0	0
45	tmp6		12	5	TTVAR	VOID	0	0
46	end1518_4		168	5	REEND	VOID	0	0
47	leq		0	6	FUNC	INT	0	2
48	a		4	6	PARA	INT	0	0
49	b		8	6	PARA	INT	0	0
50	tmp7		12	6	TTVAR	VOID	0	0
51	end1518_5		172	6	REEND	VOID	0	0
52	gtr		0	7	FUNC	INT	0	2
53	a		4	7	PARA	INT	0	0
54	b		8	7	PARA	INT	0	0
55	tmp8		12	7	TTVAR	VOID	0	0
